date,regime_id,regime_name,confidence
2020-07-24,1,Complacency,1.0
2020-07-27,1,Complacency,1.0
2020-07-28,1,Complacency,1.0
2020-07-29,1,Complacency,1.0
2020-07-30,1,Complacency,1.0
2020-07-31,1,Complacency,1.0
2020-08-03,1,Complacency,1.0
2020-08-04,1,Complacency,1.0
2020-08-05,1,Complacency,1.0
2020-08-06,1,Complacency,1.0
2020-08-07,1,Complacency,1.0
2020-08-10,1,Complacency,1.0
2020-08-11,1,Complacency,1.0
2020-08-12,1,Complacency,1.0
2020-08-13,1,Complacency,1.0
2020-08-14,1,Complacency,1.0
2020-08-17,1,Complacency,1.0
2020-08-18,1,Complacency,1.0
2020-08-19,1,Complacency,1.0
2020-08-20,1,Complacency,1.0
2020-08-21,1,Complacency,1.0
2020-08-24,1,Complacency,1.0
2020-08-25,1,Complacency,1.0
2020-08-26,1,Complacency,1.0
2020-08-27,1,Complacency,1.0
2020-08-28,1,Complacency,1.0
2020-08-31,1,Complacency,1.0
2020-09-01,1,Complacency,1.0
2020-09-02,1,Complacency,1.0
2020-09-03,1,Complacency,1.0
2020-09-04,1,Complacency,1.0
2020-09-08,1,Complacency,1.0
2020-09-09,1,Complacency,1.0
2020-09-10,1,Complacency,1.0
2020-09-11,1,Complacency,1.0
2020-09-14,1,Complacency,1.0
2020-09-15,1,Complacency,1.0
2020-09-16,1,Complacency,1.0
2020-09-17,1,Complacency,1.0
2020-09-18,1,Complacency,1.0
2020-09-21,1,Complacency,1.0
2020-09-22,1,Complacency,1.0
2020-09-23,1,Complacency,1.0
2020-09-24,1,Complacency,1.0
2020-09-25,1,Complacency,1.0
2020-09-28,1,Complacency,1.0
2020-09-29,1,Complacency,1.0
2020-09-30,1,Complacency,1.0
2020-10-01,1,Complacency,1.0
2020-10-02,1,Complacency,1.0
2020-10-05,1,Complacency,0.999999999998181
2020-10-06,1,Complacency,0.9999477485662305
2020-10-07,0,Euphoria,0.6490070948297576
2020-10-08,0,Euphoria,0.9134958418246402
2020-10-09,0,Euphoria,0.9999987283525925
2020-10-12,0,Euphoria,0.9999999999890861
2020-10-13,0,Euphoria,0.9999999999490683
2020-10-14,0,Euphoria,0.9999999999090505
2020-10-15,0,Euphoria,0.9999999997562554
2020-10-16,0,Euphoria,0.9999999997489795
2020-10-19,0,Euphoria,0.9999999915398803
2020-10-20,0,Euphoria,0.9999999817300707
2020-10-21,0,Euphoria,0.9999999891151674
2020-10-22,0,Euphoria,0.9999984411836847
2020-10-23,0,Euphoria,0.9999998518233152
2020-10-26,0,Euphoria,0.9999983847150674
2020-10-27,0,Euphoria,0.9995789401385536
2020-10-28,0,Euphoria,0.8120576925370842
2020-10-29,2,Capitulation,0.9999999999763531
2020-10-30,2,Capitulation,0.9999999983156158
2020-11-02,2,Capitulation,0.9999999826140994
2020-11-03,2,Capitulation,0.9999999978717824
2020-11-04,2,Capitulation,0.9999975983766225
2020-11-05,2,Capitulation,0.9261257223160401
2020-11-06,0,Euphoria,0.9723131698507401
2020-11-09,0,Euphoria,0.99999988659875
2020-11-10,0,Euphoria,0.9999999955070962
2020-11-11,0,Euphoria,0.9999999987503543
2020-11-12,0,Euphoria,0.9999999993888196
2020-11-13,0,Euphoria,0.9999999268566198
2020-11-16,0,Euphoria,0.9999999993469828
2020-11-17,0,Euphoria,0.9999999989850039
2020-11-18,0,Euphoria,0.9999999997071427
2020-11-19,0,Euphoria,0.9999999162337225
2020-11-20,0,Euphoria,0.9999999976589606
2020-11-23,0,Euphoria,0.999999945162928
2020-11-24,0,Euphoria,0.9999999986848707
2020-11-25,0,Euphoria,0.9999999850424502
2020-11-27,0,Euphoria,0.9999937466777717
2020-11-30,0,Euphoria,0.9999998015973884
2020-12-01,0,Euphoria,0.9999917121256315
2020-12-02,0,Euphoria,0.9999965193825666
2020-12-03,0,Euphoria,0.9999970475499069
2020-12-04,0,Euphoria,0.9999999834490155
