Date,log_returns,parkinson_vol,rsi,macd,macd_signal,macd_histogram,bb_width,atr,rolling_sharpe,rolling_max_dd,SMA_20,SMA_50,EMA_12,EMA_26,momentum_5d,momentum_10d,momentum_20d,vix_level,vix_percentile,volume_ratio
2019-12-31,-0.0055284759156675346,0.003466945160428795,80.1002794044475,3.2925402604761302,3.2063016304489613,0.08623863002716892,0.053488156737018705,1.8021414620535714,3.1631079257211825,-0.06022979985174203,317.2720001220703,311.27959899902345,320.0072369876673,316.71469672719115,0.001091184404169887,0.011849171691859839,0.021539209908236545,14.819999694824219,0.75,0.8098552355531743
2020-01-02,0.0024263514356685496,0.003317174695890024,83.61580807645414,3.196445979612008,3.204330500281571,-0.0078845206695628,0.05214660397348229,1.8192858014787947,3.9469416302637828,-0.06022979985174203,317.7829986572266,311.7573986816406,320.2922751974973,317.0958292178853,0.001992354549614994,0.007386495623043832,0.03279415422520171,13.779999732971191,0.6,0.9438882494575859
2020-01-03,0.009308464399828981,0.0032916900068781464,86.00963692232624,3.3248464419522747,3.228433688615712,0.09641275333656285,0.04962980856238089,1.9457157679966517,5.647565788946726,-0.06022979985174203,318.5489990234375,312.2549987792969,320.9965398005266,317.6716933585743,0.011331394970485187,0.01658474722751957,0.04949122251125715,12.470000267028809,0.15,0.990295220018123
2020-01-06,-0.0076010483986278365,0.0033546151651434506,68.51334664466658,3.1913164722473084,3.2210102453420317,-0.02969377309472332,0.045964799645791164,1.9421452113560267,4.806283905024006,-0.06022979985174203,319.09649963378905,312.7229986572266,321.2139957792316,318.0226793069843,-0.0016411679423116166,0.008823828519454846,0.03515704266180397,14.020000457763672,0.75,1.2705477682679347
2020-01-07,0.00380779332143604,0.003507814609435069,70.6536351850005,3.148451230251112,3.206498442323848,-0.058047212072736,0.042507853613749966,1.9935738699776786,4.526788356981223,-0.06022979985174203,319.67750091552733,313.19819885253906,321.5872294514171,318.438778221166,0.0024159986751706164,0.008538550339882489,0.037241285955742054,13.850000381469727,0.7,0.8989542091247392
2020-01-08,-0.002815737819690788,0.003514214290336172,61.511087909339075,3.0063946803679187,3.1664776899326625,-0.16008300956474386,0.04078849605649829,1.8864331926618303,4.625704372257498,-0.06022979985174203,320.07050170898435,313.64539916992186,321.7630419952496,318.75664731488166,0.005138982443837703,0.006235774425503493,0.02496273379816749,13.789999961853027,0.65,0.6586057540425522
2020-01-09,0.005315384309479369,0.003670481903510524,65.56124732873752,2.998043980197849,3.1327909479857,-0.134746967787851,0.03815260793939103,2.0535757882254466,6.308259081049217,-0.06022979985174203,320.5990020751953,314.1023992919922,322.17642202783134,319.1783780476335,0.008047060751089408,0.010055447898802639,0.03367531273030622,13.449999809265137,0.6,1.0813010253962299
2020-01-10,0.006757763910630538,0.003615328401229876,69.76484700189326,3.1328327803036586,3.132799314449292,3.346585436680982e-05,0.03564371363943865,2.165004185267857,6.241934997940195,-0.06022979985174203,321.2550018310547,314.5693994140625,322.8646638537779,319.73183107347427,0.005479111047650864,0.016872591989504082,0.04184605992494861,12.539999961853027,0.3,0.7700026011830419
2020-01-13,-0.0028818539244586834,0.0037028177980998845,63.750715392453834,3.1277487932623558,3.131789210211905,-0.004040416949549375,0.031555050783740816,2.222143990652902,5.702519913051703,-0.06022979985174203,321.8195007324219,315.0193994140625,323.30240656167024,320.1746577684079,0.010235376556203768,0.008577410642010674,0.03590731360978916,12.5600004196167,0.35,0.8426426340056634
2020-01-14,0.006853806284860935,0.0035272740096476156,68.45600934872525,3.2668128657560374,3.1587939413207318,0.10801892443530559,0.03273067388377687,2.198573521205357,5.6178467487129335,-0.06022979985174203,322.3605010986328,315.4955993652344,324.01742281480267,320.75060994904663,0.013317257951788175,0.015765431104527217,0.03411852286956263,12.319999694824219,0.15,0.7787190350702892
2020-01-15,-0.001525786018845352,0.0034396116249409783,65.91721752581982,3.298651522373575,3.1867654575313007,0.11188606484227437,0.03210142080215971,2.260003226143973,5.588123493434676,-0.06022979985174203,322.86700134277345,315.9779998779297,324.5455134905302,321.2468619681566,0.01462523180375408,0.019839373057068288,0.03192362488653999,12.390000343322754,0.2,1.055420281441825
2020-01-16,0.0022573074615838975,0.0033274269016566,67.14282063347218,3.345035428478411,3.218419451720723,0.1266159767576882,0.03367871774411817,2.3414306640625,5.304988717705683,-0.06022979985174203,323.30150146484374,316.41899963378904,325.10620409835724,321.7611686698788,0.011527169344005106,0.019666989927093814,0.02719875568515251,12.420000076293945,0.2,1.2213234560677817
2020-01-17,0.008283978494246641,0.00338882912438983,68.71481431117282,3.5610346879716417,3.286942498970907,0.2740921890007346,0.03785189435806267,2.41357421875,5.8053754745968495,-0.06022979985174203,323.8690017700195,316.89,326.0006363028768,322.43960161490514,0.013072155551924425,0.018622890391476465,0.03551649354878439,12.319999694824219,0.075,0.9216300774736188
2020-01-21,0.0031076970399105484,0.003441710677692307,70.40866386020303,3.771848429934778,3.3839236851636816,0.3879247447710963,0.041738023626138696,2.4000026157924106,5.813828133389516,-0.06022979985174203,324.48700256347655,317.3884002685547,326.91592490351593,323.14407647358115,0.019158211033307282,0.029589679093580346,0.03867460186730254,12.100000381469727,0.05,1.5704204011448737
2020-01-22,-0.001960119478876216,0.0034280031934489598,74.17213667341785,3.842178064482823,3.47557456102751,0.366603503455313,0.04428147260917086,2.315000261579241,6.019633469914223,-0.06022979985174203,325.00700225830076,317.8723999023438,327.59039611727786,323.74821805279504,0.01021489696979394,0.023668189339479895,0.03240883170549136,12.850000381469727,0.65,1.2817429319187004
